GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US17199,27261,8440,5961,6675,2181,4004
0500000US17201,131794,38000,23264,33007,10136,27387
0500000US18003,178622,59845,29881,42517,13211,33168
0500000US18005,39788,17385,6439,6649,1757,7558
0500000US18019,54984,17613,10034,13053,3691,10593
0500000US18035,51009,17411,10189,12175,4899,6335
0500000US18039,97133,24631,12975,21314,5911,32302
0500000US18043,39307,13559,5620,10174,4010,5944
0500000US18053,27790,7586,5741,6376,1759,6328
0500000US18057,171061,91314,22568,37981,7951,11247
0500000US18059,37846,14403,6332,9012,4081,4018
0500000US18063,81588,34828,11729,18833,7490,8708
0500000US22033,217318,82962,39052,54343,16571,24390
0500000US22045,29713,7940,6658,5968,4556,4591
0500000US22051,210672,67714,41594,51953,26710,22701
0500000US22055,119161,40309,22614,28967,14595,12676
0500000US22057,42116,12241,8610,8550,7843,4872
0500000US22063,60620,20410,8723,13030,9024,9433
0500000US22071,181946,77167,38247,40955,10018,15559
0500000US22073,62517,20324,12791,16301,6420,6681
0500000US22079,55199,17674,12336,12236,6251,6702
0500000US22097,30534,8775,6211,7565,3328,4655
0500000US22103,119204,47568,18162,30219,13224,10031
0500000US22105,56287,19091,10453,13823,5581,7339
0500000US22109,47535,12372,9730,10078,7007,8348
0500000US23001,53623,20025,9098,11516,5611,7373
0500000US23003,29285,9331,5921,6334,3872,3827
0500000US23005,160871,73460,27040,36976,9429,13966
0500000US23011,56348,21431,11223,13795,5938,3961
0500000US23019,73343,24373,13527,20086,7325,8032
0500000US23031,103204,37973,18161,24077,11048,11945
0500000US24001,27880,7782,7002,6685,2656,3755
0500000US24003,294842,141015,42427,68415,23014,19971
0500000US24005,425667,183963,76590,95389,29071,40654
0500000US24009,45016,18071,7509,10272,6109,3055
0500000US24013,87816,38899,13132,19224,9482,7079
0500000US24015,52428,16433,7500,13842,7346,7307
0500000US24017,79638,31877,14291,20196,7113,6161
0500000US24021,132512,62686,21714,28059,10478,9575
0500000US24025,126793,53802,18475,31468,10352,12696
0500000US24027,172989,105626,20351,31474,5439,10099
0500000US24031,557797,313507,86016,100439,29913,27922
0500000US24033,485154,187366,98826,108895,49285,40782
0500000US24037,54588,23203,6816,12056,6935,5578
0500000US24043,66569,21201,14712,14604,7200,8852
0500000US24045,49221,16325,9536,12646,4312,6402
0500000US24510,283328,119230,63485,60070,13365,27178
0500000US25001,102907,38446,21393,26630,9862,6576
0500000US25003,64464,24923,12635,14272,5468,7166
0500000US25005,283587,106849,48970,64336,26276,37156
0500000US25009,399282,167595,74200,87519,29534,40434
0500000US25011,37931,15829,6703,7979,4262,3158
0500000US25013,219067,76427,44309,50375,17226,30730
0500000US25015,83069,38184,16948,17662,4461,5814
0500000US25017,882665,488972,128560,170960,41990,52183
0500000US25021,363317,193765,49691,76681,20510,22670
0500000US25023,269452,100705,52245,68665,24038,23799
0500000US25025,426944,196613,96162,83153,21046,29970
0500000US25027,422979,173454,73915,95110,35899,44601
0500000US26005,56390,16454,8793,11576,8010,11557
0500000US26017,47737,13006,9183,13680,3708,8160
0500000US26021,70952,25643,12917,16641,6111,9640
0500000US18067,36585,9902,6642,8230,2674,9137
0500000US18081,77367,30439,12287,18289,5438,10914
0500000US18085,38030,10082,5368,7733,4138,10709
0500000US18089,220808,63082,42928,53630,20355,40813
0500000US18091,48662,14129,10247,10346,4946,8994
0500000US18095,57508,17223,11153,13437,5756,9939
0500000US18097,460206,159860,79260,121506,31041,68539
0500000US18105,73214,30740,13711,17742,5046,5975
0500000US18109,34063,8862,6051,9045,4100,6005
0500000US18127,80094,27071,13502,17880,9392,12249
0500000US18141,121388,40972,21592,29431,9115,20278
0500000US18157,93617,36687,16717,18632,6617,14964
0500000US18163,90374,30935,16104,20588,6481,16266
0500000US18167,49361,17277,10427,10852,3684,7121
0500000US18177,29954,8010,5678,7135,2320,6811
0500000US19013,71199,21412,13379,17681,5058,13669
0500000US19049,44831,24337,5621,8940,2338,3595
0500000US19061,51731,17918,9555,12277,4827,7154
0500000US19103,81884,37683,14789,17161,5275,6976
0500000US19113,117605,46322,17842,28651,9483,15307
0500000US19153,253895,102962,41694,62463,20317,26459
0500000US19155,47972,15630,9003,11674,4606,7059
0500000US19163,82756,31886,14990,17703,5421,12756
0500000US19169,54884,25732,9699,12013,2558,4882
0500000US19193,51381,15816,8683,12075,5430,9377
0500000US20015,31998,12791,6325,6734,2942,3206
0500000US20045,69062,30421,14220,14741,2906,6774
0500000US20091,317340,165417,41097,70734,17326,22766
0500000US20103,34973,14148,5927,7029,3683,4186
0500000US20161,35675,16572,6278,7253,3010,2562
0500000US20173,249261,89623,42241,61376,21521,34500
0500000US20177,86078,33024,13698,20129,7252,11975
0500000US20209,76003,18350,15111,18328,9360,14854
0500000US21015,65399,26545,8293,18054,4482,8025
0500000US21029,40806,11459,4815,11306,4725,8501
0500000US21037,46604,18037,6843,12640,4117,4967
0500000US21047,24278,5487,6258,5223,2338,4972
0500000US21059,44545,14795,7202,9030,5191,8327
0500000US21067,166825,73293,27569,39211,8913,17839
0500000US21093,48870,15919,9735,10642,4164,8410
0500000US21111,382586,141146,59198,95132,22910,64200
0500000US21117,86855,33764,12655,21089,6301,13046
0500000US21145,30179,10425,6404,6977,2755,3618
0500000US21151,40724,14798,8988,8357,3018,5563
0500000US21185,31831,14518,5030,7270,2392,2621
0500000US21227,62992,17971,9931,17527,4333,13230
0500000US22005,58105,20797,9478,14599,5301,7930
0500000US22015,52598,19443,9744,13164,5538,4709
0500000US22017,105567,35536,24270,26946,9206,9609
0500000US22019,86410,23238,18834,21781,11732,10825
0500000US12083,125578,31564,28583,38911,14164,12356
0500000US12085,65756,23298,13614,16888,7294,4662
0500000US12086,1290097,403468,281412,340505,122995,141717
0500000US12087,42019,10998,12541,10080,5696,2704
0500000US12089,35585,13848,6076,8713,2778,4170
0500000US12091,86789,30808,17451,20726,10837,6967
0500000US12095,654308,238840,140337,165218,51347,58566
0500000US12097,156190,37551,39564,44457,14811,19807
0500000US12099,667713,237768,153287,167073,61119,48466
0500000US12101,203687,73965,37554,55194,21734,15240
0500000US12103,441770,167625,82027,127697,29001,35420
0500000US12105,274271,81547,56730,73144,27280,35570
0500000US12107,26560,6407,6441,4923,4819,3970
0500000US12109,110153,47088,18076,29231,7127,8631
0500000US12111,126961,32157,27208,38768,16495,12333
0500000US12113,70255,25790,11837,17345,7704,7579
0500000US12115,164860,54566,35722,43053,19504,12015
0500000US12117,225551,101708,34762,55357,15319,18405
0500000US12119,26115,5239,6754,8044,2108,3970
0500000US12127,218671,70792,44484,59425,23561,20409
0500000US12131,30506,10983,6693,6821,3346,2663
0500000US13013,34622,10811,4098,9011,4615,6087
0500000US13015,43753,13734,6951,10312,5954,6802
0500000US13021,62032,20115,15873,14280,3694,8070
0500000US13031,33175,12490,5539,6521,4078,4547
0500000US26163,737706,236586,150093,173824,47822,129381
0500000US27003,189357,67887,30945,46032,17449,27044
0500000US27013,37094,12746,7507,8397,3513,4931
0500000US27019,57030,27290,8413,13188,2953,5186
0500000US27037,235627,98915,34407,61527,15495,25283
0500000US27053,681603,330446,104678,151026,32646,62807
0500000US27109,80945,40503,12377,15124,5762,7179
0500000US27123,279076,122867,46564,63143,13843,32659
0500000US27131,34543,13250,5663,6692,2780,6158
0500000US27137,97499,34967,19898,21909,10468,10257
